,Parameter Name,Site_keys,LU,ppm
136,TSP - combined,[  37.983813 -120.382138],"{'Residential': 0.99, 'Evergreen forest land': 0.01}",0.000338889
137,TSP - combined,[  34.278058 -118.685924],"{'Commercial and Services': 0.3, 'Residential': 0.09, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.6}",0.000559322
138,TSP - combined,[ 41.180375 -73.19289 ],"{'Commercial and Services': 0.58, 'Residential': 0.28, 'Transportation, communications and services': 0.14}",0.000414815
139,TSP - combined,[ 41.310833 -72.916944],"{'Mixed urban or built-up land': 0.5904761904761905, 'Industrial': 0.047619047619047616, 'Transportation, communications and services': 0.24761904761904763, 'Residential': 0.11428571428571428}",0.000907018
140,TSP - combined,[ 41.550556 -73.043611],"{'Commercial and Services': 0.31, 'Residential': 0.06, 'Industrial': 0.42, 'Other urban or built-up land': 0.1, 'Transportation, communications and services': 0.11}",0.00024117600000000012
141,TSP - combined,[ 39.757891 -75.546034],"{'Commercial and Services': 0.11, 'Residential': 0.6, 'Other urban or built-up land': 0.19, 'Transportation, communications and services': 0.1}",0.0006966670000000001
142,TSP - combined,[ 39.812335 -75.455196],"{'Commercial and Services': 0.16, 'Residential': 0.27, 'Industrial': 0.15, 'Transportation, communications and services': 0.41, 'Transitional areas': 0.01}",0.0005732140000000001
143,TSP - combined,[ 26.083143 -80.237586],"{'Commercial and Services': 0.99, 'Cropland and pasture': 0.01}",0.000577778
144,TSP - combined,[ 30.344118 -81.661508],"{'Commercial and Services': 0.21, 'Residential': 0.61, 'Other urban or built-up land': 0.18}",0.00021964299999999997
145,TSP - combined,[ 27.719475 -82.432594],"{'Residential': 0.74, 'Forested wetland': 0.09, 'Cropland and pasture': 0.1, 'Other agricultural land': 0.07}",0.000133898
146,TSP - combined,[ 27.920578 -82.446206],"{'Residential': 0.1437908496732026, 'Bays and estuaries': 0.5490196078431373, 'Transportation, communications and services': 0.20261437908496732, 'Industrial': 0.10457516339869281}",0.00032500000000000004
147,TSP - combined,[ 27.88669  -82.481206],"{'Commercial and Services': 0.05, 'Residential': 0.53, 'Bays and estuaries': 0.42}",0.009936786
148,TSP - combined,[ 27.894469 -82.400927],"{'Other agricultural land': 0.28, 'Forested wetland': 0.53, 'Herbaceous Rangeland': 0.19}",0.008831970000000001
149,TSP - combined,[ 27.955856 -82.371482],"{'Streams and canals': 0.17, 'Industrial and commercial complexes': 0.46, 'Cropland and pasture': 0.11, 'Transportation, communications and services': 0.2, 'Transitional areas': 0.06}",0.009496296000000001
150,TSP - combined,[ 27.864192 -82.384259],"{'Residential': 0.03, 'Streams and canals': 0.2, 'Industrial': 0.42, 'Herbaceous Rangeland': 0.35}",0.016983265
151,TSP - combined,[ 27.762806 -82.400927],"{'Residential': 0.37, 'Industrial': 0.1, 'Cropland and pasture': 0.52, 'Evergreen forest land': 0.01}",0.000457143
